,brand,key,name,rating,rating_count,CONTAINS_CHOCOLATE
0,bj,0_bj,Salted Caramel Core,3.7,208,False
1,bj,1_bj,Netflix & Chilll'd™,4.0,127,False
2,bj,2_bj,Chip Happens,4.7,130,False
3,bj,3_bj,Cannoli,3.6,70,False
4,bj,4_bj,Gimme S’more!™,4.5,281,False
5,bj,5_bj,Peanut Butter Half Baked®,4.9,14,True
6,bj,6_bj,Berry Sweet Mascarpone,4.6,10,False
7,bj,7_bj,Chocolate Peanut Butter Split,5.0,7,False
8,bj,8_bj,Justice ReMix'd ™,4.3,110,False
9,bj,9_bj,Boots on the Moooo’n™,4.7,42,False
10,bj,10_bj,Americone Dream®,4.7,370,False
11,bj,11_bj,Bourbon Pecan Pie,4.6,9,False
12,bj,12_bj,Brewed to Matter™,4.7,35,True
13,bj,13_bj,Caramel Chocolate Cheesecake,4.0,133,False
14,bj,14_bj,Cherry Garcia®,4.4,153,False
15,bj,15_bj,Chillin' the Roast™,3.3,172,True
16,bj,16_bj,Chocolate Chip Cookie Dough,4.6,983,True
17,bj,17_bj,Chocolate Fudge Brownie,3.4,204,False
18,bj,18_bj,Chocolate Shake It™,3.9,111,False
19,bj,19_bj,Chocolate Therapy®,4.8,72,True
20,bj,20_bj,Chubby Hubby®,4.3,118,True
21,bj,21_bj,Chunky Monkey®,4.4,108,False
22,bj,22_bj,Cinnamon Buns®,4.6,83,False
23,bj,23_bj,Coffee Coffee BuzzBuzzBuzz!®,4.9,47,False
24,bj,24_bj,Coffee Toffee Bar Crunch,2.9,302,False
25,bj,25_bj,Cold Brew Caramel Latte,4.6,10,False
26,bj,26_bj,Everything But The...®,3.8,72,False
27,bj,27_bj,Glampfire Trail Mix™,4.7,68,False
28,bj,28_bj,Half Baked®,4.7,887,True
29,bj,29_bj,Ice Cream Sammie,5.0,31,False
30,bj,30_bj,Milk & Cookies,4.7,104,True
31,bj,31_bj,Mint Chocolate Cookie,4.4,141,False
32,bj,32_bj,Minter Wonderland™,4.7,32,False
33,bj,33_bj,New York Super Fudge Chunk®,4.9,63,False
34,bj,34_bj,Oat of This Swirled™,4.5,255,False
35,bj,35_bj,Peanut Butter Cup,4.4,41,False
36,bj,36_bj,Peanut Butter World®,4.9,69,False
37,bj,37_bj,Phish Food®,4.8,93,False
38,bj,38_bj,Pistachio Pistachio,4.0,80,False
39,bj,39_bj,Pumpkin Cheesecake,4.6,58,False
40,bj,40_bj,"Red, White & Blueberry",3.4,39,False
41,bj,41_bj,S'mores,4.1,151,False
42,bj,42_bj,Salted Caramel Almond,4.5,23,False
43,bj,43_bj,Strawberry Cheesecake,4.7,231,False
44,bj,44_bj,The Tonight Dough®,4.7,639,True
45,bj,45_bj,Triple Caramel Chunk®,4.3,16,False
46,bj,46_bj,Urban Bourbon™,4.2,181,False
47,bj,47_bj,Vanilla,4.7,10,False
48,bj,48_bj,Vanilla Caramel Fudge,4.8,29,True
49,bj,49_bj,Boom Chocolatta™ Cookie Core,4.6,97,True
50,bj,50_bj,Chocolate Chip Cookie Dough Core,1.8,166,True
51,bj,51_bj,Sweet Like Sugar Cookie Dough Core,4.8,123,False
52,bj,52_bj,"Wake & "" No Bake "" Cookie Dough Core",3.3,68,False
53,bj,53_bj,Brownie Batter Core,3.5,108,True
54,bj,54_bj,Cookies & Cream Cheesecake Core,4.4,57,False
55,bj,55_bj,Karamel Sutra® Core,4.2,94,False
56,bj,56_bj,Peanut Butter Fudge Core,4.7,19,False
57,hd,0_hd,White Chocolate Raspberry Truffle Ice Cream,4.9,168,False
58,hd,1_hd,Banana Peanut Butter Chip Ice Cream,4.7,80,False
59,hd,2_hd,Bourbon Praline Pecan Ice Cream,4.1,191,False
60,hd,3_hd,Bourbon Vanilla Bean Truffle Ice Cream,4.0,89,False
61,hd,4_hd,Butter Pecan Ice Cream,4.3,111,False
62,hd,5_hd,Caramel Soft Dipped Ice Cream Bar,4.9,8,False
63,hd,6_hd,Caramel Cone Ice Cream,4.7,185,False
64,hd,7_hd,Caramel Cone Ice Cream Bar,4.8,23,True
65,hd,8_hd,Cherry Vanilla Ice Cream,4.2,26,False
66,hd,9_hd,Chocolate Ice Cream,4.9,90,False
67,hd,10_hd,Chocolate Soft Dipped Ice Cream Bar,2.6,25,True
68,hd,11_hd,Chocolate Chip Cookie Dough Ice Cream,3.3,29,False
69,hd,12_hd,Chocolate Chocolate Chip Ice Cream,4.7,46,True
70,hd,13_hd,Chocolate Dark Chocolate Ice Cream Bar,4.5,22,True
71,hd,14_hd,Chocolate Fudge Non-Dairy Bar,5.0,22,True
72,hd,15_hd,Chocolate Peanut Butter Ice Cream,4.2,173,True
73,hd,16_hd,Chocolate Salted Fudge Truffle Non-Dairy,4.8,97,True
74,hd,17_hd,Chocolate Sea Salt Caramel HEAVEN Light Ice Cream,4.1,13,False
75,hd,18_hd,Coconut Caramel Non-Dairy,4.9,11,False
76,hd,19_hd,Coconut Caramel Chocolate TRIO CRISPY LAYERS,4.6,26,False
77,hd,20_hd,Coconut Caramel Dark Chocolate Non-Dairy Bar,4.6,31,True
78,hd,21_hd,Coffee Ice Cream,4.6,173,False
79,hd,22_hd,Coffee Almond Crunch Ice Cream Bar,4.3,42,True
80,hd,23_hd,Coffee Chip Ice Cream,3.1,111,False
81,hd,24_hd,Coffee Vanilla Chocolate TRIO CRISPY LAYERS,4.4,48,False
82,hd,25_hd,Cold Brew Espresso Chip HEAVEN Light Ice Cream,4.5,18,True
83,hd,26_hd,Cookies and Cream Ice Cream,4.6,23,True
84,hd,27_hd,Double Belgian Chocolate Chip Ice Cream,4.8,158,True
