,Parent Ingredient,count,percent_containing
0,butter,69,0.2863070539419087
1,vanilla extract,119,0.49377593360995853
2,skim milk,148,0.6141078838174274
3,water,125,0.5186721991701245
4,lactase,5,0.02074688796680498
5,soybean oil,60,0.24896265560165975
6,milk,120,0.4979253112033195
7,wheat flour,75,0.3112033195020747
8,pectin,60,0.24896265560165975
9,brown sugar,30,0.12448132780082988
10,salt,158,0.6556016597510373
11,baking soda,73,0.3029045643153527
12,cream,219,0.9087136929460581
13,baking powder,3,0.012448132780082987
14,carrageenan,64,0.26556016597510373
15,sugar,212,0.8796680497925311
16,corn syrup,123,0.5103734439834025
17,egg yolks,124,0.5145228215767634
18,liquid sugar,61,0.25311203319502074
19,butteroil,13,0.05394190871369295
20,sea salt,18,0.07468879668049792
21,guar gum,84,0.34854771784232363
22,eggs,28,0.11618257261410789
23,soy lecithin,142,0.5892116182572614
24,tapioca starch,17,0.07053941908713693
25,milk fat,27,0.11203319502074689
26,corn starch,29,0.12033195020746888
27,barley malt,6,0.024896265560165973
28,cocoa powder,25,0.1037344398340249
29,peanut oil,27,0.11203319502074689
30,malted barley flour,7,0.029045643153526972
31,invert cane sugar,5,0.02074688796680498
32,peanuts,27,0.11203319502074689
33,egg whites,19,0.07883817427385892
34,canola oil,30,0.12448132780082988
35,milkfat,15,0.06224066390041494
36,potato,2,0.008298755186721992
37,rice starch,2,0.008298755186721992
38,cocoa,81,0.3360995850622407
39,yeast extract,2,0.008298755186721992
40,contains milk,2,0.008298755186721992
41,enzymes,4,0.016597510373443983
42,coconut oil,139,0.5767634854771784
43,corn syrup solids,4,0.016597510373443983
44,natural flavor,148,0.6141078838174274
45,wheat and soy,2,0.008298755186721992
46,sunflower oil,12,0.04979253112033195
47,locust bean gum,2,0.008298755186721992
48,vanilla bean seeds,2,0.008298755186721992
49,citric acid,15,0.06224066390041494
50,dried cane syrup,23,0.0954356846473029
51,butter oil,10,0.04149377593360996
52,lactic acid,12,0.04979253112033195
53,natural flavors,29,0.12033195020746888
54,caramelized sugar syrup,5,0.02074688796680498
55,molasses,36,0.14937759336099585
56,honey,16,0.06639004149377593
57,graham flour,7,0.029045643153526972
58,tapioca flour,2,0.008298755186721992
59,cocoa butter,55,0.22821576763485477
60,chocolate liquor,19,0.07883817427385892
61,peanut flour,2,0.008298755186721992
62,peanut extract,2,0.008298755186721992
63,roasted almonds,6,0.024896265560165973
64,blackberry juice concentrate,2,0.008298755186721992
65,lemon juice concentrate,22,0.0912863070539419
66,nonfat milk,9,0.03734439834024896
67,banana puree,4,0.016597510373443983
68,cinnamon,6,0.024896265560165973
69,spices,3,0.012448132780082987
70,invert sugar,6,0.024896265560165973
71,almonds,15,0.06224066390041494
72,whiskey,3,0.012448132780082987
73,caramel color,3,0.012448132780082987
74,dry malt extract,3,0.012448132780082987
75,may contain other tree nuts,2,0.008298755186721992
