,Parent Ingredient,count,percent_containing
0,liquid sugar,61,0.25311203319502074
1,carrageenan,64,0.26556016597510373
2,milk,120,0.4979253112033195
3,soy lecithin,142,0.5892116182572614
4,wheat flour,75,0.3112033195020747
5,butter,69,0.2863070539419087
6,guar gum,84,0.34854771784232363
7,butteroil,13,0.05394190871369295
8,baking soda,73,0.3029045643153527
9,baking powder,3,0.012448132780082987
10,sea salt,18,0.07468879668049792
11,soybean oil,60,0.24896265560165975
12,eggs,28,0.11618257261410789
13,vanilla extract,119,0.49377593360995853
14,corn syrup,123,0.5103734439834025
15,brown sugar,30,0.12448132780082988
16,egg yolks,124,0.5145228215767634
17,lactase,5,0.02074688796680498
18,cream,219,0.9087136929460581
19,sugar,212,0.8796680497925311
20,salt,158,0.6556016597510373
21,pectin,60,0.24896265560165975
22,water,125,0.5186721991701245
23,skim milk,148,0.6141078838174274
24,peanut oil,27,0.11203319502074689
25,tapioca starch,17,0.07053941908713693
26,barley malt,6,0.024896265560165973
27,canola oil,30,0.12448132780082988
28,peanuts,27,0.11203319502074689
29,milk fat,27,0.11203319502074689
30,cocoa powder,25,0.1037344398340249
31,invert cane sugar,5,0.02074688796680498
32,corn starch,29,0.12033195020746888
33,malted barley flour,7,0.029045643153526972
34,egg whites,19,0.07883817427385892
35,coconut oil,139,0.5767634854771784
36,enzymes,4,0.016597510373443983
37,rice starch,2,0.008298755186721992
38,corn syrup solids,4,0.016597510373443983
39,yeast extract,2,0.008298755186721992
40,potato,2,0.008298755186721992
41,cocoa,81,0.3360995850622407
42,milkfat,15,0.06224066390041494
43,sunflower oil,12,0.04979253112033195
44,wheat and soy,2,0.008298755186721992
45,natural flavor,148,0.6141078838174274
46,contains milk,2,0.008298755186721992
47,lactic acid,12,0.04979253112033195
48,natural flavors,29,0.12033195020746888
49,butter oil,10,0.04149377593360996
50,citric acid,15,0.06224066390041494
51,vanilla bean seeds,2,0.008298755186721992
52,dried cane syrup,23,0.0954356846473029
53,locust bean gum,2,0.008298755186721992
54,molasses,36,0.14937759336099585
55,honey,16,0.06639004149377593
56,caramelized sugar syrup,5,0.02074688796680498
57,graham flour,7,0.029045643153526972
58,cocoa butter,55,0.22821576763485477
59,chocolate liquor,19,0.07883817427385892
60,peanut extract,2,0.008298755186721992
61,tapioca flour,2,0.008298755186721992
62,peanut flour,2,0.008298755186721992
63,blackberry juice concentrate,2,0.008298755186721992
64,roasted almonds,6,0.024896265560165973
65,nonfat milk,9,0.03734439834024896
66,banana puree,4,0.016597510373443983
67,lemon juice concentrate,22,0.0912863070539419
68,cinnamon,6,0.024896265560165973
69,spices,3,0.012448132780082987
70,invert sugar,6,0.024896265560165973
71,almonds,15,0.06224066390041494
72,pecans,8,0.03319502074688797
73,dry malt extract,3,0.012448132780082987
74,whiskey,3,0.012448132780082987
75,may contain other tree nuts,2,0.008298755186721992
76,caramel color,3,0.012448132780082987
77,coffee extract,6,0.024896265560165973
78,cocoa processed with alkali,47,0.1950207468879668
79,cream cheese,10,0.04149377593360996
80,milk protein concentrate,8,0.03319502074688797
81,fruit and vegetable concentrates,3,0.012448132780082987
82,cherries,5,0.02074688796680498
83,chocolate,50,0.2074688796680498
84,rum,5,0.02074688796680498
85,coffee,13,0.05394190871369295
86,expeller pressed soybean oil,3,0.012448132780082987
87,sodium bicarbonate,16,0.06639004149377593
88,tapioca syrup,5,0.02074688796680498
89,powdered sugar,10,0.04149377593360996
90,partially defatted peanut flour,5,0.02074688796680498
91,walnuts,3,0.012448132780082987
92,spice,4,0.016597510373443983
93,vegetable oil,6,0.024896265560165973
94,corn maltodextrin,2,0.008298755186721992
95,vanilla beans,12,0.04979253112033195
96,peppermint extract,3,0.012448132780082987
97,oats,3,0.012448132780082987
98,pistachios,4,0.016597510373443983
99,annatto,24,0.0995850622406639
100,ginger,2,0.008298755186721992
101,nutmeg,4,0.016597510373443983
102,cloves,2,0.008298755186721992
103,pumpkin puree,2,0.008298755186721992
104,blueberry puree concentrate,2,0.008298755186721992
105,raspberry puree,8,0.03319502074688797
106,strawberries,9,0.03734439834024896
107,strawberry puree,2,0.008298755186721992
108,peanut butter,2,0.008298755186721992
109,whey protein concentrate,3,0.012448132780082987
110,rice flour,5,0.02074688796680498
111,potato flour,2,0.008298755186721992
112,chocolate chips,2,0.008298755186721992
113,almond extract,2,0.008298755186721992
114,carob bean gum,42,0.17427385892116182
115,modified food starch,4,0.016597510373443983
116,xanthan gum,4,0.016597510373443983
117,heavy cream,2,0.008298755186721992
118,lactose reduced skim milk,7,0.029045643153526972
119,sweetened condensed skim milk,2,0.008298755186721992
120,maple syrup,2,0.008298755186721992
121,caramel flavor,2,0.008298755186721992
122,bourbon,4,0.016597510373443983
123,ground vanilla beans,3,0.012448132780082987
124,palm oil,25,0.1037344398340249
125,sweetened condensed milk,12,0.04979253112033195
126,egg and soy ingredients,6,0.024896265560165973
127,cone pieces,2,0.008298755186721992
128,condensed skim milk,3,0.012448132780082987
129,whole milk powder,15,0.06224066390041494
130,milk chocolate,16,0.06639004149377593
131,condensed milk,8,0.03319502074688797
132,apple juice,2,0.008298755186721992
133,black cherries,2,0.008298755186721992
134,cherry juice concentrate,4,0.016597510373443983
135,cane sugar,20,0.08298755186721991
136,corn oil,2,0.008298755186721992
137,fructose,20,0.08298755186721991
138,dark chocolate,11,0.04564315352697095
139,sunflower lecithin,18,0.07468879668049792
140,belgian chocolate,3,0.012448132780082987
141,vitamin a palmitate,31,0.12863070539419086
142,coconut cream,4,0.016597510373443983
143,coconut extract,3,0.012448132780082987
144,almonds roasted in vegetable oil,3,0.012448132780082987
145,safflower oil,6,0.024896265560165973
146,toffee,2,0.008298755186721992
147,vanilla ice cream,2,0.008298755186721992
148,coffee ice cream,2,0.008298755186721992
149,cottonseed oil,4,0.016597510373443983
150,bleached wheat flour,5,0.02074688796680498
151,green tea,2,0.008298755186721992
152,nonfat dry milk,7,0.029045643153526972
153,orange juice concentrate,2,0.008298755186721992
154,mango,2,0.008298755186721992
155,mango puree,3,0.012448132780082987
156,carrot juice concentrate,2,0.008298755186721992
157,pumpkin juice concentrate,2,0.008298755186721992
158,powdered cane sugar,2,0.008298755186721992
159,vegetable juice,3,0.012448132780082987
160,white chocolate ice cream,3,0.012448132780082987
161,palm kernel oil,6,0.024896265560165973
162,butterfat,2,0.008298755186721992
163,peppermint bark pieces,2,0.008298755186721992
164,peppermint twists candy,2,0.008298755186721992
165,,2,0.008298755186721992
166,pineapple,2,0.008298755186721992
167,cream of tartar,2,0.008298755186721992
168,grape juice concentrate,2,0.008298755186721992
169,wine,2,0.008298755186721992
170,vegetable juice concentrate color,2,0.008298755186721992
171,egg,5,0.02074688796680498
172,pistachios and soy ingredients,2,0.008298755186721992
173,pistachio paste,2,0.008298755186721992
174,raisins,2,0.008298755186721992
175,evaporated milk,2,0.008298755186721992
176,caramelized sugar,3,0.012448132780082987
177,chocolaty coated cone pieces,2,0.008298755186721992
178,waffle cone pieces,2,0.008298755186721992
179,raspberry swirl,2,0.008298755186721992
180,milk chocolate and vegetable oil coating,2,0.008298755186721992
181,dextrose,43,0.17842323651452283
182,lemon juice,6,0.024896265560165973
183,mangos,2,0.008298755186721992
184,corn syrup†,3,0.012448132780082987
185,sugar†,5,0.02074688796680498
186,whole eggs,2,0.008298755186721992
187,bananas,2,0.008298755186721992
188,egg and egg yolk,5,0.02074688796680498
189,carob gum,13,0.05394190871369295
190,soy lecithin natural flavor,2,0.008298755186721992
191,black raspberries,2,0.008298755186721992
192,rolled oats,4,0.016597510373443983
193,red cabbage juice concentrate,2,0.008298755186721992
194,blueberries,4,0.016597510373443983
195,black raspberry puree,3,0.012448132780082987
196,dried apples,2,0.008298755186721992
197,palm and soybean oils,2,0.008298755186721992
198,coconut,5,0.02074688796680498
199,enriched flour,4,0.016597510373443983
200,coconut concentrate,3,0.012448132780082987
201,wheat bran,4,0.016597510373443983
202,egg yolks and egg whites,4,0.016597510373443983
203,chocolate processed with alkali,3,0.012448132780082987
204,cherry puree,3,0.012448132780082987
205,wheat germ,4,0.016597510373443983
206,lemon peel,9,0.03734439834024896
207,coconut and soybean and sunflower oils,2,0.008298755186721992
208,desiccated coconut,2,0.008298755186721992
209,egg yolk and egg,3,0.012448132780082987
210,dextrose†,4,0.016597510373443983
211,molasses†,2,0.008298755186721992
212,coffee extract concentrate,2,0.008298755186721992
213,whey,63,0.26141078838174275
214,vermouth,3,0.012448132780082987
215,hazelnuts,2,0.008298755186721992
216,whole wheat graham flour,3,0.012448132780082987
217,palm and palm kernel oil,4,0.016597510373443983
218,red cabbage juice,2,0.008298755186721992
219,whole egg,2,0.008298755186721992
220,mint leaf extractives,3,0.012448132780082987
221,palm oil and soybean oil,4,0.016597510373443983
222,enriched wheat flour,8,0.03319502074688797
223,organic vanilla extract,4,0.016597510373443983
224,organic glucose syrup,2,0.008298755186721992
225,organic caramelized sugar,2,0.008298755186721992
226,organic milk,3,0.012448132780082987
227,organic skim milk,5,0.02074688796680498
228,organic egg yolks,2,0.008298755186721992
229,organic cane sugar,5,0.02074688796680498
230,organic carob bean gum,5,0.02074688796680498
231,organic cream,5,0.02074688796680498
232,organic dextrose,5,0.02074688796680498
233,organic butter,3,0.012448132780082987
234,organic black cocoa processed with alkali,2,0.008298755186721992
235,organic egg whites and egg yolks,2,0.008298755186721992
236,organic cocoa processed with alkali,2,0.008298755186721992
237,organic chocolate,2,0.008298755186721992
238,organic lemon juice concentrate,2,0.008298755186721992
239,organic ginger,2,0.008298755186721992
240,organic matcha green tea,2,0.008298755186721992
241,organic green tea,2,0.008298755186721992
242,oakwood extract,2,0.008298755186721992
243,coconut and soybean oil,2,0.008298755186721992
244,pumpkin,2,0.008298755186721992
245,brown sugar†,2,0.008298755186721992
246,carrot powder,2,0.008298755186721992
247,balsamic vinegar,2,0.008298755186721992
248,modified corn starch,2,0.008298755186721992
249,color added,4,0.016597510373443983
250,raspberries,2,0.008298755186721992
251,whole egg and egg yolk,3,0.012448132780082987
252,egg yolk and whole egg,2,0.008298755186721992
253,hibiscus flower,2,0.008298755186721992
254,hibiscus powder,2,0.008298755186721992
255,lime juice concentrate,2,0.008298755186721992
256,vegetable gum,10,0.04149377593360996
257,tara,25,0.1037344398340249
258,mono and diglycerides,57,0.23651452282157676
259,carob bean,51,0.21161825726141079
260,vegetable gums,62,0.2572614107883817
261,guar,50,0.2074688796680498
262,dutched cocoa,30,0.12448132780082988
263,soluble corn fiber,12,0.04979253112033195
264,reb a,5,0.02074688796680498
265,erythritol,5,0.02074688796680498
266,chocolatey chips,3,0.012448132780082987
267,maltitol,3,0.012448132780082987
268,polydextrose,9,0.03734439834024896
269,maltitol syrup,12,0.04979253112033195
270,acesulfame potassium,13,0.05394190871369295
271,sucralose,13,0.05394190871369295
272,glycerin,9,0.03734439834024896
273,lactase enzyme,4,0.016597510373443983
274,tara gum,6,0.024896265560165973
275,maltodextrin,6,0.024896265560165973
276,leavening,5,0.02074688796680498
277,niacin,9,0.03734439834024896
278,unbleached enriched flour,4,0.016597510373443983
279,palm oil and/or canola oil,3,0.012448132780082987
280,baking soda and/or calcium phosphate,3,0.012448132780082987
281,oreo cookie pieces,5,0.02074688796680498
282,thiamine mononitrate,7,0.029045643153526972
283,folic acid,9,0.03734439834024896
284,reduced iron,9,0.03734439834024896
285,riboflavin,9,0.03734439834024896
286,unbleached enriched wheat flour,2,0.008298755186721992
287,semi-sweet chocolate chunks,2,0.008298755186721992
288,artificial flavoring,2,0.008298755186721992
289,nonfat milk solids,6,0.024896265560165973
290,caramel,10,0.04149377593360996
291,chocolate chip cookies,2,0.008298755186721992
292,soybean lecithin,5,0.02074688796680498
293,high fructose corn syrup,10,0.04149377593360996
294,potassium sorbate,8,0.03319502074688797
295,pgpr,6,0.024896265560165973
296,locust bean,2,0.008298755186721992
297,peaches,3,0.012448132780082987
298,processed vanilla beans,2,0.008298755186721992
299,sorbitol,2,0.008298755186721992
300,beet juice,4,0.016597510373443983
301,pea protein,3,0.012448132780082987
302,almond milk,3,0.012448132780082987
303,cheese cultures,4,0.016597510373443983
304,raspberry puree concentrate,2,0.008298755186721992
305,pasteurized eggs,2,0.008298755186721992
306,pasteurized milk,4,0.016597510373443983
307,fudge swirl,3,0.012448132780082987
308,lactose,8,0.03319502074688797
309,reese's peanut butter sauce,3,0.012448132780082987
310,tbhq and citric acid,4,0.016597510373443983
311,reese's peanut butter cup pieces,3,0.012448132780082987
312,tbhq,4,0.016597510373443983
313,reese's mini pieces,2,0.008298755186721992
314,vanillin,3,0.012448132780082987
315,yellow 6 lake,3,0.012448132780082987
316,confectioner's glaze,2,0.008298755186721992
317,yellow 5 lake,3,0.012448132780082987
318,carnauba wax,2,0.008298755186721992
319,blue 1 lake,3,0.012448132780082987
320,red 40 lake,3,0.012448132780082987
321,soybean,2,0.008298755186721992
322,modified cornstarch,2,0.008298755186721992
323,lecithin,2,0.008298755186721992
324,palm kernel,2,0.008298755186721992
325,hydrogenated vegetable oil,2,0.008298755186721992
326,artificial color,2,0.008298755186721992
327,cornstarch,6,0.024896265560165973
328,caramel swirl,6,0.024896265560165973
329,artificial flavor,4,0.016597510373443983
330,roasted peanuts,2,0.008298755186721992
331,chocolate flavored coating,2,0.008298755186721992
332,chocolatey coated peanuts,2,0.008298755186721992
333,snickers pieces*,3,0.012448132780082987
334,artificial flavors,2,0.008298755186721992
335,blue 1,2,0.008298755186721992
336,sodium citrate,5,0.02074688796680498
337,milk chocolate candies,2,0.008298755186721992
338,blue 2,2,0.008298755186721992
339,dextrin,2,0.008298755186721992
340,m&m's minis milk chocolate candies with cocoa butter,2,0.008298755186721992
341,blue 2 lake,2,0.008298755186721992
342,red 40,2,0.008298755186721992
343,yellow 5,2,0.008298755186721992
344,yellow 6,2,0.008298755186721992
345,sodium caseinate,3,0.012448132780082987
346,calcium carbonate,3,0.012448132780082987
347,unbleached unenriched wheat flour,5,0.02074688796680498
348,anhydrous milkfat,3,0.012448132780082987
349,fudge covered waffle cone pieces,3,0.012448132780082987
350,waffle cone,3,0.012448132780082987
351,fudge coating,3,0.012448132780082987
352,heath toffee bar pieces,3,0.012448132780082987
353,vanilla,4,0.016597510373443983
354,ground heath toffee pieces,2,0.008298755186721992
355,propylene glycol monoesters,2,0.008298755186721992
356,and/or calcium phosphate,3,0.012448132780082987
357,and/or canola oil,3,0.012448132780082987
358,and/or baking soda,3,0.012448132780082987
359,cellulose gum,2,0.008298755186721992
360,and/or palm oil,3,0.012448132780082987
361,reese's peanut butter cups,2,0.008298755186721992
362,reese's peanut butter swirl,2,0.008298755186721992
363,orange juice,2,0.008298755186721992
364,whole wheat/graham flour,3,0.012448132780082987
365,pasteurized milk and cream,2,0.008298755186721992
366,cheesecake base,2,0.008298755186721992
367,cheese culture,2,0.008298755186721992
368,lemon oil,3,0.012448132780082987
369,cheesecake pieces with graham crust,3,0.012448132780082987
370,graham crumb,3,0.012448132780082987
371,strawberry swirl,2,0.008298755186721992
372,sweetened lemon zest,3,0.012448132780082987
373,ascorbic acid,2,0.008298755186721992
374,malic acid,2,0.008298755186721992
375,cherry concentrate,2,0.008298755186721992
376,cherry and black carrot concentrates,2,0.008298755186721992
377,plum,2,0.008298755186721992
378,plum concentrate,2,0.008298755186721992
379,black carrot concentrate,2,0.008298755186721992
380,thiamin mononitrate,3,0.012448132780082987
381,fruit and vegetable juice,2,0.008298755186721992
382,chocolate cookie pieces,2,0.008298755186721992
383,unsweetened chocolate,2,0.008298755186721992
384,sodium acid pyrophosphate,2,0.008298755186721992
385,monocalcium phosphate,2,0.008298755186721992
386,skim milk powder,2,0.008298755186721992
387,pasteurized whole eggs,2,0.008298755186721992
