,Parent Ingredient,count,percent_containing,Dummify?
18,cream,219,90.9%,
19,sugar,212,88.0%,
20,salt,158,65.6%,
23,skim milk,148,61.4%,
45,natural flavor,148,61.4%,
3,soy lecithin,142,58.9%,
35,coconut oil,139,57.7%,
22,water,125,51.9%,
16,egg yolks,124,51.5%,
14,corn syrup,123,51.0%,
2,milk,120,49.8%,
13,vanilla extract,119,49.4%,
6,guar gum,84,34.9%,
41,cocoa,81,33.6%,Yes - with Chocolate
4,wheat flour,75,31.1%,
8,baking soda,73,30.3%,
5,butter,69,28.6%,
1,carrageenan,64,26.6%,
213,whey,63,26.1%,
260,vegetable gums,62,25.7%,
0,liquid sugar,61,25.3%,
11,soybean oil,60,24.9%,
21,pectin,60,24.9%,
258,mono and diglycerides,57,23.7%,
58,cocoa butter,55,22.8%,
259,carob bean,51,21.2%,
83,chocolate,50,20.7%,Yes - with Cocoa
261,guar,50,20.7%,
78,cocoa processed with alkali,47,19.5%,
181,dextrose,43,17.8%,
114,carob bean gum,42,17.4%,
54,molasses,36,14.9%,
141,vitamin a palmitate,31,12.9%,
15,brown sugar,30,12.4%,Yes
27,canola oil,30,12.4%,
262,dutched cocoa,30,12.4%,
32,corn starch,29,12.0%,
48,natural flavors,29,12.0%,
12,eggs,28,11.6%,
24,peanut oil,27,11.2%,
28,peanuts,27,11.2%,Yes
29,milk fat,27,11.2%,
30,cocoa powder,25,10.4%,
124,palm oil,25,10.4%,
257,tara,25,10.4%,
99,annatto,24,10.0%,
52,dried cane syrup,23,9.5%,
67,lemon juice concentrate,22,9.1%,Yes
135,cane sugar,20,8.3%,
137,fructose,20,8.3%,
34,egg whites,19,7.9%,
59,chocolate liquor,19,7.9%,
10,sea salt,18,7.5%,
139,sunflower lecithin,18,7.5%,
25,tapioca starch,17,7.1%,
55,honey,16,6.6%,?
87,sodium bicarbonate,16,6.6%,
130,milk chocolate,16,6.6%,
42,milkfat,15,6.2%,
50,citric acid,15,6.2%,
71,almonds,15,6.2%,Yes
129,whole milk powder,15,6.2%,
7,butteroil,13,5.4%,
85,coffee,13,5.4%,Yes
189,carob gum,13,5.4%,
270,acesulfame potassium,13,5.4%,
271,sucralose,13,5.4%,
43,sunflower oil,12,5.0%,
47,lactic acid,12,5.0%,
95,vanilla beans,12,5.0%,Yes
125,sweetened condensed milk,12,5.0%,
263,soluble corn fiber,12,5.0%,
269,maltitol syrup,12,5.0%,
