,key,name,subhead,description,rating,rating_count,ingredients,ingredients_as_list,parent_ingredients_as_list,parent_ingredients_as_set,contains_pecans,contains_coffee,contains_walnuts,contains_rum,contains_cream cheese,contains_brown sugar,contains_cinnamon,contains_lemon juice concentrate,contains_pineapple,contains_marshmallow,contains_cookie dough,contains_toffee,contains_caramel,contains_vegan,contains_chocolate,contains_peanuts,contains_almonds,contains_strawberries,contains_raspberries,contains_mangos,contains_banana,brand_bj,brand_breyers,brand_hd,brand_talenti
0,0_bj,Salted Caramel Core,Sweet Cream Ice Cream with Blonde Brownies & a Salted Caramel Core,"Find your way to the ultimate ice cream experience with our Cores. Whether your primal urges lead you to the center of salted caramel or directly to the blonde brownies, you’ll be in total control of your own ice cream destiny.",3.7,208,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, BROWN SUGAR, SUGAR, MILK, WHEAT FLOUR, EGG YOLKS, CORN SYRUP, EGGS, BUTTER (CREAM, SALT), BUTTEROIL, PECTIN, SEA SALT, SOYBEAN OIL, VANILLA EXTRACT, GUAR GUM, SOY LECITHIN, BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STARCH, MONOCALCIUM PHOSPHATE), BAKING SODA, SALT, CARRAGEENAN, LACTASE","['cream', 'skim milk', 'liquid sugar (sugar, water)', 'water', 'brown sugar', 'sugar', 'milk', 'wheat flour', 'egg yolks', 'corn syrup', 'eggs', 'butter (cream, salt)', 'butteroil', 'pectin', 'sea salt', 'soybean oil', 'vanilla extract', 'guar gum', 'soy lecithin', 'baking powder (sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate)', 'baking soda', 'salt', 'carrageenan', 'lactase']","['cream', 'skim milk', 'liquid sugar', 'water', 'brown sugar', 'sugar', 'milk', 'wheat flour', 'egg yolks', 'corn syrup', 'eggs', 'butter', 'butteroil', 'pectin', 'sea salt', 'soybean oil', 'vanilla extract', 'guar gum', 'soy lecithin', 'baking powder', 'baking soda', 'salt', 'carrageenan', 'lactase']","{'butter', 'vanilla extract', 'skim milk', 'water', 'lactase', 'soybean oil', 'milk', 'wheat flour', 'pectin', 'brown sugar', 'salt', 'baking soda', 'cream', 'baking powder', 'carrageenan', 'sugar', 'corn syrup', 'egg yolks', 'liquid sugar', 'butteroil', 'sea salt', 'guar gum', 'eggs', 'soy lecithin'}",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,1_bj,Netflix & Chilll'd™,Peanut Butter Ice Cream with Sweet & Salty Pretzel Swirls & Fudge Brownies,"There’s something for everyone to watch on Netflix & flavors for everyone to enjoy from Ben & Jerry’s, so we’ve teamed up to bring you a chillaxing new creation that’s certain to satisfy any sweet or salty snack craving. It’s a flavorful world, and everyone is invited to grab a spoon.",4.0,127,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, PEANUTS, WHEAT FLOUR, CANOLA OIL, EGG YOLKS, CORN STARCH, PEANUT OIL, COCOA POWDER, SALT, SOYBEAN OIL, INVERT CANE SUGAR, MILK FAT, EGGS, EGG WHITES, GUAR GUM, SOY LECITHIN, TAPIOCA STARCH, BAKING SODA, CARRAGEENAN, VANILLA EXTRACT, BARLEY MALT, MALTED BARLEY FLOUR","['cream', 'skim milk', 'liquid sugar (sugar, water)', 'water', 'sugar', 'peanuts', 'wheat flour', 'canola oil', 'egg yolks', 'corn starch', 'peanut oil', 'cocoa powder', 'salt', 'soybean oil', 'invert cane sugar', 'milk fat', 'eggs', 'egg whites', 'guar gum', 'soy lecithin', 'tapioca starch', 'baking soda', 'carrageenan', 'vanilla extract', 'barley malt', 'malted barley flour']","['cream', 'skim milk', 'liquid sugar', 'water', 'sugar', 'peanuts', 'wheat flour', 'canola oil', 'egg yolks', 'corn starch', 'peanut oil', 'cocoa powder', 'salt', 'soybean oil', 'invert cane sugar', 'milk fat', 'eggs', 'egg whites', 'guar gum', 'soy lecithin', 'tapioca starch', 'baking soda', 'carrageenan', 'vanilla extract', 'barley malt', 'malted barley flour']","{'vanilla extract', 'skim milk', 'tapioca starch', 'water', 'soy lecithin', 'soybean oil', 'wheat flour', 'milk fat', 'salt', 'baking soda', 'cream', 'corn starch', 'carrageenan', 'barley malt', 'sugar', 'cocoa powder', 'peanut oil', 'malted barley flour', 'invert cane sugar', 'egg yolks', 'liquid sugar', 'peanuts', 'guar gum', 'egg whites', 'eggs', 'canola oil'}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2,2_bj,Chip Happens,A Cold Mess of Chocolate Ice Cream with Fudge Chips & Crunchy Potato Chip Swirls,"Sometimes “chip” happens and everything’s a mess, but we Nailed It! with this chip-filled limited batch. When smooth chocolate ice cream meets fudge chips & salty swirls, they pack a serious one-two crunch. The best part? There won’t be anything left to clean up.",4.7,130,"CREAM, LIQUID SUGAR (SUGAR, WATER), SKIM MILK, WATER, SUGAR, COCOA (PROCESSED WITH ALKALI), POTATO, COCONUT OIL, CORN SYRUP SOLIDS, SOYBEAN OIL, EGG YOLKS, RICE STARCH, SUNFLOWER OIL, BARLEY MALT, COCOA POWDER, WHEAT FLOUR, MILK, SALT, SOY LECITHIN, YEAST EXTRACT, NATURAL FLAVOR, GUAR GUM, SEA SALT, MILKFAT, VANILLA EXTRACT, ENZYMES, CARRAGEENAN, BAKING SODA. CONTAINS MILK, EGGS, WHEAT AND SOY","['cream', 'liquid sugar (sugar, water)', 'skim milk', 'water', 'sugar', 'cocoa (processed with alkali)', 'potato', 'coconut oil', 'corn syrup solids', 'soybean oil', 'egg yolks', 'rice starch', 'sunflower oil', 'barley malt', 'cocoa powder', 'wheat flour', 'milk', 'salt', 'soy lecithin', 'yeast extract', 'natural flavor', 'guar gum', 'sea salt', 'milkfat', 'vanilla extract', 'enzymes', 'carrageenan', 'baking soda', 'contains milk', 'eggs', 'wheat and soy']","['cream', 'liquid sugar', 'skim milk', 'water', 'sugar', 'cocoa', 'potato', 'coconut oil', 'corn syrup solids', 'soybean oil', 'egg yolks', 'rice starch', 'sunflower oil', 'barley malt', 'cocoa powder', 'wheat flour', 'milk', 'salt', 'soy lecithin', 'yeast extract', 'natural flavor', 'guar gum', 'sea salt', 'milkfat', 'vanilla extract', 'enzymes', 'carrageenan', 'baking soda', 'contains milk', 'eggs', 'wheat and soy']","{'vanilla extract', 'skim milk', 'milkfat', 'water', 'soybean oil', 'wheat flour', 'milk', 'salt', 'baking soda', 'cream', 'potato', 'rice starch', 'carrageenan', 'cocoa', 'yeast extract', 'barley malt', 'sugar', 'contains milk', 'cocoa powder', 'enzymes', 'coconut oil', 'corn syrup solids', 'natural flavor', 'egg yolks', 'liquid sugar', 'sea salt', 'wheat and soy', 'guar gum', 'eggs', 'sunflower oil', 'soy lecithin'}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3,3_bj,Cannoli,Mascarpone Ice Cream with Fudge-Covered Pastry Shell Pieces & Mascarpone Swirls,"As a Limited Batch that captured the rapture of the classic Sicilian dessert, our Cannoli captivated fans like no other Cannoli could. Now that it’s a full-time flavor, you and your Cannoli can re-capture the rapture all over again.",3.6,70,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER),  WATER, CORN SYRUP, COCONUT OIL, SUGAR, DRIED CANE SYRUP, EGG YOLKS, WHEAT FLOUR, MILK, COCOA, NATURAL FLAVOR, GUAR GUM, SOY LECITHIN, BUTTER OIL, NATURAL FLAVORS, LOCUST BEAN GUM, SALT, CITRIC ACID, VANILLA BEAN SEEDS, SOYBEAN OIL, TAPIOCA STARCH, LACTIC ACID, CARRAGEENAN","['cream', 'skim milk', 'liquid sugar (sugar, water)', 'water', 'corn syrup', 'coconut oil', 'sugar', 'dried cane syrup', 'egg yolks', 'wheat flour', 'milk', 'cocoa', 'natural flavor', 'guar gum', 'soy lecithin', 'butter oil', 'natural flavors', 'locust bean gum', 'salt', 'citric acid', 'vanilla bean seeds', 'soybean oil', 'tapioca starch', 'lactic acid', 'carrageenan']","['cream', 'skim milk', 'liquid sugar', 'water', 'corn syrup', 'coconut oil', 'sugar', 'dried cane syrup', 'egg yolks', 'wheat flour', 'milk', 'cocoa', 'natural flavor', 'guar gum', 'soy lecithin', 'butter oil', 'natural flavors', 'locust bean gum', 'salt', 'citric acid', 'vanilla bean seeds', 'soybean oil', 'tapioca starch', 'lactic acid', 'carrageenan']","{'skim milk', 'tapioca starch', 'water', 'locust bean gum', 'soybean oil', 'wheat flour', 'milk', 'vanilla bean seeds', 'salt', 'cream', 'carrageenan', 'cocoa', 'sugar', 'citric acid', 'corn syrup', 'dried cane syrup', 'natural flavor', 'butter oil', 'egg yolks', 'liquid sugar', 'guar gum', 'lactic acid', 'coconut oil', 'natural flavors', 'soy lecithin'}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4,4_bj,Gimme S’more!™,"Toasted Marshmallow Ice Cream with Chocolate Cookie Swirls, Graham Cracker Swirls & Fudge Flakes","It’s a gimme: there’s always room for s’more. And we’re pretty sure you’ll want to make s’more room in your freezer for this ‘shmallowy-rich, graham-good-‘n-chocolatey concoction now that it's full time flavor!.",4.5,281,"CREAM, SKIM MILK, WATER, LIQUID SUGAR (SUGAR, WATER), SUGAR, CANOLA OIL, SOYBEAN OIL, EGG YOLKS, CORN SYRUP, WHEAT FLOUR, COCONUT OIL, CORN STARCH, COCOA (PROCESSED WITH ALKALI), CORN SYRUP SOLIDS, COCOA, GRAHAM FLOUR, SALT, EGG WHITES, BUTTEROIL, TAPIOCA STARCH, GUAR GUM, SOY LECITHIN, BAKING SODA, NATURAL FLAVOR, MOLASSES, HONEY, VANILLA EXTRACT, PECTIN, CARAMELIZED SUGAR SYRUP, CARRAGEENAN","['cream', 'skim milk', 'water', 'liquid sugar (sugar, water)', 'sugar', 'canola oil', 'soybean oil', 'egg yolks', 'corn syrup', 'wheat flour', 'coconut oil', 'corn starch', 'cocoa (processed with alkali)', 'corn syrup solids', 'cocoa', 'graham flour', 'salt', 'egg whites', 'butteroil', 'tapioca starch', 'guar gum', 'soy lecithin', 'baking soda', 'natural flavor', 'molasses', 'honey', 'vanilla extract', 'pectin', 'caramelized sugar syrup', 'carrageenan']","['cream', 'skim milk', 'water', 'liquid sugar', 'sugar', 'canola oil', 'soybean oil', 'egg yolks', 'corn syrup', 'wheat flour', 'coconut oil', 'corn starch', 'cocoa', 'corn syrup solids', 'cocoa', 'graham flour', 'salt', 'egg whites', 'butteroil', 'tapioca starch', 'guar gum', 'soy lecithin', 'baking soda', 'natural flavor', 'molasses', 'honey', 'vanilla extract', 'pectin', 'caramelized sugar syrup', 'carrageenan']","{'caramelized sugar syrup', 'vanilla extract', 'skim milk', 'molasses', 'tapioca starch', 'water', 'soy lecithin', 'soybean oil', 'wheat flour', 'pectin', 'honey', 'salt', 'baking soda', 'cream', 'corn starch', 'cocoa', 'carrageenan', 'sugar', 'corn syrup', 'natural flavor', 'corn syrup solids', 'egg yolks', 'liquid sugar', 'butteroil', 'guar gum', 'egg whites', 'coconut oil', 'graham flour', 'canola oil'}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,5_bj,Peanut Butter Half Baked®,Chocolate & Peanut Butter Ice Creams Mixed with Gobs of Peanut Butter Cookie Dough & Fudge Brownies,"If you were more than a little bit smitten with half baked®’s peanut buttery cousin when it was a Limited Batch, we expect you could be a whole lot smittener now that it’s a full-time flavor. Enjoy!",4.9,14,"CREAM, LIQUID SUGAR (SUGAR, WATER), SKIM MILK, WATER, SUGAR, WHEAT FLOUR, PEANUTS, COCOA (PROCESSED WITH ALKALI), BROWN SUGAR, EGG YOLKS, COCOA POWDER, PEANUT OIL, SOYBEAN OIL, BUTTER (CREAM, SALT), INVERT CANE SUGAR, SALT, CHOCOLATE LIQUOR, EGGS, TAPIOCA FLOUR, PEANUT FLOUR, PEANUT EXTRACT, VANILLA EXTRACT, EGG WHITES, GUAR GUM, COCOA BUTTER, NATURAL FLAVOR, CARRAGEENAN, SOY LECITHIN, BAKING SODA, MALTED BARLEY FLOUR","['cream', 'liquid sugar (sugar, water)', 'skim milk', 'water', 'sugar', 'wheat flour', 'peanuts', 'cocoa (processed with alkali)', 'brown sugar', 'egg yolks', 'cocoa powder', 'peanut oil', 'soybean oil', 'butter (cream, salt)', 'invert cane sugar', 'salt', 'chocolate liquor', 'eggs', 'tapioca flour', 'peanut flour', 'peanut extract', 'vanilla extract', 'egg whites', 'guar gum', 'cocoa butter', 'natural flavor', 'carrageenan', 'soy lecithin', 'baking soda', 'malted barley flour']","['cream', 'liquid sugar', 'skim milk', 'water', 'sugar', 'wheat flour', 'peanuts', 'cocoa', 'brown sugar', 'egg yolks', 'cocoa powder', 'peanut oil', 'soybean oil', 'butter', 'invert cane sugar', 'salt', 'chocolate liquor', 'eggs', 'tapioca flour', 'peanut flour', 'peanut extract', 'vanilla extract', 'egg whites', 'guar gum', 'cocoa butter', 'natural flavor', 'carrageenan', 'soy lecithin', 'baking soda', 'malted barley flour']","{'butter', 'vanilla extract', 'skim milk', 'tapioca flour', 'cocoa butter', 'water', 'chocolate liquor', 'soybean oil', 'peanut flour', 'wheat flour', 'brown sugar', 'salt', 'peanut extract', 'baking soda', 'cream', 'carrageenan', 'cocoa', 'sugar', 'cocoa powder', 'peanut oil', 'natural flavor', 'malted barley flour', 'invert cane sugar', 'egg yolks', 'liquid sugar', 'peanuts', 'guar gum', 'egg whites', 'eggs', 'soy lecithin'}",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
6,6_bj,Berry Sweet Mascarpone,Blackberry & Mascarpone Ice Creams with Shortbread Cookies & Fudge-Covered Almonds,"From the sweet blackberry and crazy creamy mascarpone ice creams to the shortbread cookies and fudge-dunked almonds, you’ll fall in love with this flavor faster than you can say “mass-car-po-nay.”",4.6,10,"CREAM, SKIM MILK, WATER, LIQUID SUGAR (SUGAR, WATER), ROASTED ALMONDS (ALMONDS, PEANUT OIL), DRIED CANE SYRUP, EGG YOLKS, WHEAT FLOUR, COCONUT OIL, BLACKBERRY JUICE CONCENTRATE, BUTTER (CREAM, SALT), SUGAR, COCOA, SOYBEAN OIL, CORN SYRUP, SALT, BUTTEROIL, SOY LECITHIN, VANILLA EXTRACT, EGGS, GUAR GUM, MILK, NATURAL FLAVORS, BAKING SODA, TAPIOCA STARCH, CARRAGEENAN, LACTIC ACID, CITRIC ACID","['cream', 'skim milk', 'water', 'liquid sugar (sugar, water)', 'roasted almonds (almonds, peanut oil)', 'dried cane syrup', 'egg yolks', 'wheat flour', 'coconut oil', 'blackberry juice concentrate', 'butter (cream, salt)', 'sugar', 'cocoa', 'soybean oil', 'corn syrup', 'salt', 'butteroil', 'soy lecithin', 'vanilla extract', 'eggs', 'guar gum', 'milk', 'natural flavors', 'baking soda', 'tapioca starch', 'carrageenan', 'lactic acid', 'citric acid']","['cream', 'skim milk', 'water', 'liquid sugar', 'roasted almonds', 'dried cane syrup', 'egg yolks', 'wheat flour', 'coconut oil', 'blackberry juice concentrate', 'butter', 'sugar', 'cocoa', 'soybean oil', 'corn syrup', 'salt', 'butteroil', 'soy lecithin', 'vanilla extract', 'eggs', 'guar gum', 'milk', 'natural flavors', 'baking soda', 'tapioca starch', 'carrageenan', 'lactic acid', 'citric acid']","{'butter', 'vanilla extract', 'skim milk', 'tapioca starch', 'roasted almonds', 'water', 'soybean oil', 'wheat flour', 'milk', 'salt', 'baking soda', 'cream', 'carrageenan', 'cocoa', 'sugar', 'citric acid', 'corn syrup', 'dried cane syrup', 'egg yolks', 'liquid sugar', 'butteroil', 'guar gum', 'lactic acid', 'eggs', 'coconut oil', 'blackberry juice concentrate', 'natural flavors', 'soy lecithin'}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
7,7_bj,Chocolate Peanut Butter Split,Chocolate & Banana Ice Creams with Mini Peanut Butter Cups,"We’ve loaded our banana and chocolate ice creams with a chocolatey lot of bite-size PB surprises, so if you find your chocolate-covered, peanut-buttered banana fantasies aren’t fulfilled in every spoonful, we suggest a bigger spoon.",5.0,7,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, PEANUTS, COCONUT OIL, BANANA PUREE, COCOA (PROCESSED WITH ALKALI), EGG YOLKS, MILK, NONFAT MILK, GUAR GUM, NATURAL FLAVORS, LEMON JUICE CONCENTRATE, SALT, COCOA, SOY LECITHIN, VANILLA EXTRACT, CARRAGEENAN","['cream', 'skim milk', 'liquid sugar (sugar, water)', 'water', 'sugar', 'peanuts', 'coconut oil', 'banana puree', 'cocoa (processed with alkali)', 'egg yolks', 'milk', 'nonfat milk', 'guar gum', 'natural flavors', 'lemon juice concentrate', 'salt', 'cocoa', 'soy lecithin', 'vanilla extract', 'carrageenan']","['cream', 'skim milk', 'liquid sugar', 'water', 'sugar', 'peanuts', 'coconut oil', 'banana puree', 'cocoa', 'egg yolks', 'milk', 'nonfat milk', 'guar gum', 'natural flavors', 'lemon juice concentrate', 'salt', 'cocoa', 'soy lecithin', 'vanilla extract', 'carrageenan']","{'vanilla extract', 'skim milk', 'water', 'lemon juice concentrate', 'milk', 'salt', 'cream', 'carrageenan', 'cocoa', 'nonfat milk', 'sugar', 'banana puree', 'egg yolks', 'liquid sugar', 'peanuts', 'guar gum', 'coconut oil', 'natural flavors', 'soy lecithin'}",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
8,8_bj,Justice ReMix'd ™,Cinnamon & Chocolate Ice Creams with Gobs of Cinnamon Bun Dough & Spicy Fudge Brownies,"Now serving Justice ReMix’d: the flavor and action campaign dedicated to criminal justice reform. We’re proud to work with Advancement Project National Office in supporting reforms that invest in people instead of prisons. Together we can transform the system to deliver justice for all, instead of just some. Join us at benjerry.com/justice.",4.3,110,"CREAM, LIQUID SUGAR (SUGAR, WATER), SKIM MILK, WATER, SUGAR, WHEAT FLOUR, DRIED CANE SYRUP, COCOA (PROCESSED WITH ALKALI), EGG YOLKS, COCOA POWDER, SOYBEAN OIL, INVERT SUGAR, BUTTER (CREAM, SALT), COCONUT OIL, MOLASSES, SALT, EGGS, SPICES, BAKING SODA, CORN SYRUP, SOY LECITHIN, EGG WHITES, GUAR GUM, CINNAMON, NATURAL FLAVOR, CARRAGEENAN, VANILLA EXTRACT, MALTED BARLEY FLOUR","['cream', 'liquid sugar (sugar, water)', 'skim milk', 'water', 'sugar', 'wheat flour', 'dried cane syrup', 'cocoa (processed with alkali)', 'egg yolks', 'cocoa powder', 'soybean oil', 'invert sugar', 'butter (cream, salt)', 'coconut oil', 'molasses', 'salt', 'eggs', 'spices', 'baking soda', 'corn syrup', 'soy lecithin', 'egg whites', 'guar gum', 'cinnamon', 'natural flavor', 'carrageenan', 'vanilla extract', 'malted barley flour']","['cream', 'liquid sugar', 'skim milk', 'water', 'sugar', 'wheat flour', 'dried cane syrup', 'cocoa', 'egg yolks', 'cocoa powder', 'soybean oil', 'invert sugar', 'butter', 'coconut oil', 'molasses', 'salt', 'eggs', 'spices', 'baking soda', 'corn syrup', 'soy lecithin', 'egg whites', 'guar gum', 'cinnamon', 'natural flavor', 'carrageenan', 'vanilla extract', 'malted barley flour']","{'butter', 'vanilla extract', 'skim milk', 'molasses', 'water', 'soybean oil', 'wheat flour', 'cinnamon', 'salt', 'baking soda', 'cream', 'spices', 'carrageenan', 'cocoa', 'sugar', 'cocoa powder', 'corn syrup', 'dried cane syrup', 'natural flavor', 'malted barley flour', 'egg yolks', 'liquid sugar', 'invert sugar', 'guar gum', 'egg whites', 'eggs', 'coconut oil', 'soy lecithin'}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
9,9_bj,Boots on the Moooo’n™,A Universe of Milk Chocolate Ice Cream with Fudge Cows & Toffee Meteor Clusters Orbiting a Sugar Cookie Dough Core,"While Space Force works to get boots (back) on the moon, this cosmic concoction will launch your dreams into orbit. With fudgy astronaut cows & toffee meteors, space couldn't be any sweeter. Unless the moon was made out of sugar cookie dough. Which for this limited-time flavor, it actually is!
View All Of Our Netflix Inspired Flavors",4.7,42,"CREAM, LIQUID SUGAR (SUGAR, WATER), SKIM MILK, WATER, SUGAR, COCOA (PROCESSED WITH ALKALI), SOYBEAN OIL, COCONUT OIL, WHEAT FLOUR, CORN SYRUP, ALMONDS, BUTTER (CREAM, SALT), EGG YOLKS, VANILLA EXTRACT, SALT, NATURAL FLAVORS, EGGS, GUAR GUM, COCOA, SOY LECITHIN, MILK, BAKING SODA, CARRAGEENAN","['cream', 'liquid sugar (sugar, water)', 'skim milk', 'water', 'sugar', 'cocoa (processed with alkali)', 'soybean oil', 'coconut oil', 'wheat flour', 'corn syrup', 'almonds', 'butter (cream, salt)', 'egg yolks', 'vanilla extract', 'salt', 'natural flavors', 'eggs', 'guar gum', 'cocoa', 'soy lecithin', 'milk', 'baking soda', 'carrageenan']","['cream', 'liquid sugar', 'skim milk', 'water', 'sugar', 'cocoa', 'soybean oil', 'coconut oil', 'wheat flour', 'corn syrup', 'almonds', 'butter', 'egg yolks', 'vanilla extract', 'salt', 'natural flavors', 'eggs', 'guar gum', 'cocoa', 'soy lecithin', 'milk', 'baking soda', 'carrageenan']","{'butter', 'vanilla extract', 'skim milk', 'water', 'soybean oil', 'wheat flour', 'milk', 'salt', 'baking soda', 'cream', 'carrageenan', 'cocoa', 'sugar', 'corn syrup', 'almonds', 'egg yolks', 'liquid sugar', 'guar gum', 'eggs', 'coconut oil', 'natural flavors', 'soy lecithin'}",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0
